iter,fitness,time,XPL,XPT,DIV
0,97653.0,0.127,100.0,0.0,0.474
1,39657.0,0.849,47.05,52.95,0.223
2,15294.0,1.017,19.41,80.59,0.092
3,5538.0,0.863,7.81,92.19,0.037
4,1553.0,0.876,3.8,96.2,0.018
5,503.0,0.971,1.48,98.52,0.007
6,192.0,0.872,0.84,99.16,0.004
7,71.0,0.901,0.63,99.37,0.003
8,69.0,0.906,0.63,99.37,0.003
9,68.0,0.846,0.63,99.37,0.003
10,67.0,0.881,0.42,99.58,0.002
11,67.0,0.942,0.63,99.37,0.003
12,65.0,1.02,0.63,99.37,0.003
13,63.0,0.9,0.63,99.37,0.003
14,63.0,0.891,0.63,99.37,0.003
15,63.0,0.905,0.63,99.37,0.003
16,63.0,0.866,0.63,99.37,0.003
17,63.0,0.829,0.63,99.37,0.003
18,63.0,0.915,0.63,99.37,0.003
19,63.0,0.963,0.63,99.37,0.003
20,63.0,0.901,0.63,99.37,0.003
21,63.0,0.878,0.63,99.37,0.003
22,63.0,0.948,0.63,99.37,0.003
23,63.0,0.931,0.63,99.37,0.003
24,63.0,0.826,0.42,99.58,0.002
25,63.0,0.926,0.63,99.37,0.003
26,63.0,0.988,0.42,99.58,0.002
27,63.0,0.932,0.63,99.37,0.003
28,63.0,1.006,0.63,99.37,0.003
29,63.0,0.908,0.42,99.58,0.002
30,63.0,0.848,0.63,99.37,0.003
31,63.0,0.842,0.42,99.58,0.002
32,63.0,0.866,0.63,99.37,0.003
33,63.0,0.948,0.42,99.58,0.002
34,63.0,0.853,0.42,99.58,0.002
35,63.0,0.944,0.63,99.37,0.003
36,63.0,0.978,0.63,99.37,0.003
37,63.0,0.906,0.63,99.37,0.003
38,63.0,0.872,0.63,99.37,0.003
39,63.0,0.949,0.42,99.58,0.002
40,63.0,0.928,0.42,99.58,0.002
41,63.0,0.951,0.63,99.37,0.003
42,63.0,0.954,0.63,99.37,0.003
43,63.0,1.029,0.42,99.58,0.002
44,63.0,0.893,0.63,99.37,0.003
45,63.0,0.918,0.63,99.37,0.003
46,63.0,1.14,0.63,99.37,0.003
47,63.0,1.121,0.63,99.37,0.003
