iter,fitness,time,XPL,XPT,DIV
0,98235.0,0.126,100.0,0.0,0.474
1,33763.0,0.58,48.31,51.69,0.229
2,3516.0,0.746,6.75,93.25,0.032
3,-5503.0,0.938,10.34,89.66,0.049
4,-5503.0,0.653,5.27,94.73,0.025
5,-5503.0,0.67,3.59,96.41,0.017
6,-5503.0,0.65,2.53,97.47,0.012
7,-5503.0,0.644,1.27,98.73,0.006
8,-5503.0,0.655,0.84,99.16,0.004
9,-5503.0,0.857,0.84,99.16,0.004
10,-5503.0,0.894,0.84,99.16,0.004
11,-5503.0,0.758,1.48,98.52,0.007
12,-5503.0,0.688,1.27,98.73,0.006
13,-5503.0,0.681,1.27,98.73,0.006
14,-5503.0,0.718,1.27,98.73,0.006
15,-5503.0,0.65,1.05,98.95,0.005
16,-5503.0,0.683,0.84,99.16,0.004
17,-5503.0,0.729,1.05,98.95,0.005
18,-5503.0,1.337,1.05,98.95,0.005
19,-5503.0,0.967,0.63,99.37,0.003
20,-5503.0,0.85,1.69,98.31,0.008
21,-5503.0,0.983,1.27,98.73,0.006
22,-5503.0,0.942,0.84,99.16,0.004
23,-5503.0,1.065,0.84,99.16,0.004
24,-5503.0,1.257,1.05,98.95,0.005
25,-5503.0,0.962,0.84,99.16,0.004
26,-5503.0,0.775,1.27,98.73,0.006
27,-5503.0,0.751,0.84,99.16,0.004
28,-5503.0,0.684,0.63,99.37,0.003
29,-5503.0,0.722,0.84,99.16,0.004
30,-5503.0,0.704,0.63,99.37,0.003
31,-5503.0,0.931,0.63,99.37,0.003
32,-5503.0,0.85,0.63,99.37,0.003
33,-5503.0,0.879,0.63,99.37,0.003
34,-5503.0,0.932,0.63,99.37,0.003
35,-5503.0,0.79,0.63,99.37,0.003
36,-5503.0,1.406,0.63,99.37,0.003
37,-5503.0,0.793,0.63,99.37,0.003
