instance, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%
scp41,4.787,95.213,4.833,95.167,4.927,4.927,3.933,3.933,17.861,17.861
scp410,5.12,94.88,4.75,95.25,5.12,5.12,3.7,3.7,7.167,7.167
scp42,4.89,95.11,5.03,94.97,5.01,5.01,3.79,3.79,28.722,28.722
scp43,4.93,95.07,5.12,94.88,5.03,5.03,3.81,3.81,27.722,27.722
scp44,5.07,94.93,5.25,94.75,5.05,5.05,3.78,3.78,28.02,28.02
scp45,5.24,94.76,5.36,94.64,5.13,5.13,3.74,3.74,7.833,7.833
scp46,4.96,95.04,4.88,95.12,5.03,5.03,3.7,3.7,7.123,7.123
scp47,5.09,94.91,5.08,94.92,5.15,5.15,3.62,3.62,7.303,7.303
scp48,4.99,95.01,5.0,95.0,5.48,5.48,3.71,3.71,7.74,7.74
scp49,5.31,94.69,5.08,94.92,5.13,5.13,3.79,3.79,6.66,6.66
